epoch;accuracy;loss;val_accuracy;val_loss
0;0.895633339881897;0.3786272406578064;0.9434999823570251;0.20151402056217194
1;0.9492666721343994;0.17746423184871674;0.9557999968528748;0.15433181822299957
2;0.9617833495140076;0.13143599033355713;0.9635999798774719;0.12135189026594162
3;0.9696833491325378;0.10189154744148254;0.9689000248908997;0.10412835329771042
4;0.9758166670799255;0.08416660875082016;0.9703999757766724;0.09943543374538422
5;0.979200005531311;0.07097989320755005;0.9721999764442444;0.08982188999652863
6;0.9821666479110718;0.060983557254076004;0.9739999771118164;0.08535651862621307
7;0.9850000143051147;0.05198957026004791;0.9750999808311462;0.08346264809370041
8;0.9869999885559082;0.0454123355448246;0.9771999716758728;0.08040475100278854
9;0.9889500141143799;0.03907844424247742;0.9763000011444092;0.07761535793542862
10;0.9906833171844482;0.03375035896897316;0.9769999980926514;0.08032900094985962
11;0.9922500252723694;0.029970595613121986;0.9764000177383423;0.07654791325330734
12;0.9933000206947327;0.026195289567112923;0.9765999913215637;0.07709448039531708
13;0.9944333434104919;0.0225974153727293;0.9767000079154968;0.07812504470348358
14;0.994616687297821;0.02086608111858368;0.977400004863739;0.08150581270456314
15;0.9960333108901978;0.01776002161204815;0.977400004863739;0.08053506910800934
16;0.9969666600227356;0.014591389335691929;0.9767000079154968;0.08245756477117538
17;0.9973000288009644;0.013206969015300274;0.9775999784469604;0.08139215409755707
18;0.9975666403770447;0.011719662696123123;0.9775999784469604;0.08479466289281845
19;0.9976666569709778;0.011075485497713089;0.9761999845504761;0.08875253051519394
20;0.9983500242233276;0.009040502831339836;0.9775000214576721;0.0895233303308487
21;0.9987666606903076;0.007804653607308865;0.9769999980926514;0.09120174497365952
22;0.9985833168029785;0.007350304163992405;0.9785000085830688;0.08700051158666611
23;0.9990666508674622;0.006063968874514103;0.9768999814987183;0.0910198912024498
24;0.9986500144004822;0.006685399450361729;0.9779999852180481;0.08989507704973221
25;0.9994999766349792;0.004271911457180977;0.9775000214576721;0.09207547456026077
26;0.9994666576385498;0.004101620987057686;0.9782000184059143;0.1008974090218544
27;0.9994333386421204;0.004022152163088322;0.978600025177002;0.09597542136907578
28;0.9997000098228455;0.0029653797391802073;0.9760000109672546;0.10572817176580429
29;0.9992833137512207;0.004056350793689489;0.9776999950408936;0.09824623167514801
30;0.9993166923522949;0.004061945714056492;0.9775999784469604;0.1005040779709816
31;0.9998666644096375;0.0018891090294346213;0.9787999987602234;0.0982789620757103
32;0.9999666810035706;0.0012965601636096835;0.9797000288963318;0.10033474117517471
33;0.999750018119812;0.0021267374977469444;0.9760000109672546;0.1184847429394722
34;0.9968500137329102;0.00959812756627798;0.9769999980926514;0.11408774554729462
35;0.9994999766349792;0.002687016036361456;0.9778000116348267;0.1090477928519249
36;0.9999499917030334;0.0009593757567927241;0.9787999987602234;0.10717154294252396
37;1.0;0.0006419095443561673;0.9782000184059143;0.10827579349279404
38;1.0;0.000546953990124166;0.978600025177002;0.10740496963262558
39;1.0;0.0004860500630456954;0.9785000085830688;0.10970931500196457
40;1.0;0.000437430280726403;0.9787999987602234;0.10974986851215363
41;1.0;0.0005022459081374109;0.9786999821662903;0.11227818578481674
42;0.99631667137146;0.01090930588543415;0.9761999845504761;0.12601353228092194
43;0.9990833401679993;0.0037476844154298306;0.9781000018119812;0.11595433205366135
44;0.9999833106994629;0.0007367194630205631;0.978600025177002;0.11371839791536331
45;1.0;0.0004216129018459469;0.9785000085830688;0.11622263491153717
46;1.0;0.0003378144756425172;0.9787999987602234;0.11614055186510086
47;1.0;0.00029471746529452503;0.9783999919891357;0.11579816043376923
48;1.0;0.0002626241184771061;0.9787999987602234;0.11746961623430252
49;1.0;0.00023781594063621014;0.9789000153541565;0.1197948232293129
